Model,Run,Accuracy,Balanced Accuracy,Macro F1
Logistic Regression,True,0.2813867906256053,0.4123562712124197,0.17862090970083716
Logistic Regression,Chance,0.014042223513461165,0.10118383610031215,0.01803357031725788
Linear SVM,True,0.5585124927367809,0.41955245944699976,0.20652184877652918
Linear SVM,Chance,0.5500290528762347,0.12039549040552888,0.07258112032624313
RBF SVM,True,0.3156498159984505,0.41485113891433256,0.1992906138259182
RBF SVM,Chance,0.06604687197365873,0.08070122261712212,0.03991472551274089
LDA,True,0.6002130544257215,0.25103727821636884,0.17008686910482743
LDA,Chance,0.5787914003486345,0.09999330767943784,0.07332351858667649
Random Forest,True,0.5801859384079023,0.27387856109003395,0.2369109860504271
Random Forest,Chance,0.39920588804958357,0.1035635722050118,0.10153870718571623
XGBoost,True,0.6491187294208793,0.19845084546848565,0.2209081911819301
XGBoost,Chance,0.5776292852992446,0.0999260240567113,0.07367897576109864
XGBoost (capped),True,0.3958357544063529,0.3390246257087989,0.22190649023806314
XGBoost (capped),Chance,0.1749176835173349,0.10002516573229289,0.07371036519747441
Ordinal Ridge,True,0.5070695332171218,0.1411320461810021,0.12859015330504564
Ordinal Ridge,Chance,0.24365678868874685,0.1,0.0391839277371126
